,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Jeff Adrien,Oct 27 '10 GSW vs. HOU,24,1,23,196,23,54,0,0,11,19,23,58,10,4,5,9,28,57,.426,,.579,8.5,2.5,2.5,0.4,0.2,0.2,adrieje01
2,Solomon Alabi,Nov 13 '10 TOR @ MIA,22,1,12,59,3,15,0,0,0,2,7,14,2,2,2,3,5,6,.200,,.000,4.9,0.5,1.2,0.2,0.2,0.2,alabiso01
3,Cole Aldrich,Oct 31 '10 OKC vs. UTA,22,1,18,142,8,15,0,0,2,4,13,35,4,5,7,8,30,18,.533,,.500,7.9,1.0,1.9,0.2,0.3,0.4,aldrico01
4,Al-Farouq Aminu,Oct 27 '10 LAC vs. POR,20,1,81,1452,160,406,45,143,92,119,75,267,60,59,25,103,121,457,.394,.315,.773,17.9,5.6,3.3,0.7,0.7,0.3,aminual01
5,James Anderson,Oct 27 '10 SAS vs. IND,21,1,26,286,31,81,18,46,14,18,2,23,18,3,6,13,24,94,.383,.391,.778,11.0,3.6,0.9,0.7,0.1,0.2,anderja01
6,Ömer Aşık,Oct 27 '10 CHI @ OKC,24,1,82,989,78,141,0,0,73,145,112,306,32,20,56,64,153,229,.553,,.503,12.1,2.8,3.7,0.4,0.2,0.7,asikom01
7,Luke Babbitt,Nov 1 '10 POR @ CHI,21,1,24,137,15,55,3,16,3,9,6,30,6,2,2,8,15,36,.273,.188,.333,5.7,1.5,1.3,0.3,0.1,0.1,babbilu01
8,Eric Bledsoe,Oct 27 '10 LAC vs. POR,21,1,81,1841,206,486,32,116,99,133,68,223,289,92,26,194,130,543,.424,.276,.744,22.7,6.7,2.8,3.6,1.1,0.3,bledser01
9,Trevor Booker,Oct 28 '10 WAS @ ORL,23,1,65,1063,139,253,0,1,68,101,98,251,35,29,42,38,115,346,.549,.000,.673,16.4,5.3,3.9,0.5,0.4,0.6,booketr01
10,Craig Brackins,Nov 24 '10 PHI @ TOR,23,1,3,33,4,16,0,5,0,0,2,4,1,1,0,0,3,8,.250,.000,,11.0,2.7,1.3,0.3,0.3,0.0,brackcr01
11,Avery Bradley,Nov 22 '10 BOS @ ATL,20,1,31,162,23,67,0,5,6,12,4,17,12,9,0,16,20,52,.343,.000,.500,5.2,1.7,0.5,0.4,0.3,0.0,bradlav01
12,Derrick Caracter,Oct 26 '10 LAL vs. HOU,22,1,41,215,32,66,0,0,17,23,19,43,7,4,10,19,47,81,.485,,.739,5.2,2.0,1.0,0.2,0.1,0.2,caracde01
13,Sherron Collins,Nov 3 '10 CHA @ NJN,23,1,20,66,7,25,2,10,1,1,0,5,8,2,0,4,2,17,.280,.200,1.000,3.3,0.9,0.3,0.4,0.1,0.0,collish01
14,Marcus Cousin,Mar 9 '11 UTA @ TOR,24,1,4,18,2,3,0,0,0,0,0,3,0,0,1,1,1,4,.667,,,4.5,1.0,0.8,0.0,0.0,0.3,cousima01
15,DeMarcus Cousins,Oct 27 '10 SAC @ MIN,20,1,81,2309,432,1004,3,18,276,402,217,699,204,85,68,268,332,1143,.430,.167,.687,28.5,14.1,8.6,2.5,1.0,0.8,couside01
16,Jordan Crawford,Oct 27 '10 ATL @ MEM,22,1,42,1027,192,500,33,128,73,84,31,105,117,39,3,83,63,490,.384,.258,.869,24.5,11.7,2.5,2.8,0.9,0.1,crawfjo02
17,Ed Davis,Dec 1 '10 TOR vs. WAS,21,1,65,1602,215,373,0,0,71,128,168,462,40,39,67,48,183,501,.576,,.555,24.6,7.7,7.1,0.6,0.6,1.0,davised01
18,Zabian Dowdell,Jan 11 '11 PHO @ DEN,26,1,24,292,51,125,3,10,16,17,5,20,51,20,2,29,30,121,.408,.300,.941,12.2,5.0,0.8,2.1,0.8,0.1,dowdeza01
19,Devin Ebanks,Oct 31 '10 LAL vs. GSW,21,1,20,118,21,51,2,5,18,23,15,27,2,4,5,6,7,62,.412,.400,.783,5.9,3.1,1.4,0.1,0.2,0.3,ebankde01
20,Semih Erden,Nov 2 '10 BOS @ DET,24,1,41,595,62,111,0,0,39,60,37,118,20,15,24,34,104,163,.559,,.650,14.5,4.0,2.9,0.5,0.4,0.6,erdense01
21,Jeremy Evans,Oct 27 '10 UTA @ DEN,23,1,49,463,76,115,0,1,26,37,36,97,24,17,17,19,50,178,.661,.000,.703,9.4,3.6,2.0,0.5,0.3,0.3,evansje01
22,Patrick Ewing,Mar 30 '11 NOH vs. POR,26,1,7,19,0,5,0,2,3,4,1,2,2,0,1,1,1,3,.000,.000,.750,2.7,0.4,0.3,0.3,0.0,0.1,ewingpa02
23,Christian Eyenga,Jan 2 '11 CLE vs. DAL,21,1,44,947,130,306,25,91,18,28,27,123,35,34,28,47,78,303,.425,.275,.643,21.5,6.9,2.8,0.8,0.8,0.6,eyengch01
24,Derrick Favors,Oct 27 '10 NJN vs. DET,19,1,78,1535,215,416,0,0,103,173,171,412,39,29,68,77,246,533,.517,,.595,19.7,6.8,5.3,0.5,0.4,0.9,favorde01
25,Landry Fields,Oct 27 '10 NYK @ TOR,22,1,82,2541,299,602,86,219,113,147,105,521,155,80,17,107,114,797,.497,.393,.769,31.0,9.7,6.4,1.9,1.0,0.2,fieldla01
26,Gary Forbes,Oct 27 '10 DEN vs. UTA,25,1,63,791,124,273,19,58,59,87,28,116,49,23,6,46,77,326,.454,.328,.678,12.6,5.2,1.8,0.8,0.4,0.1,forbega01
27,Paul George,Oct 27 '10 IND @ SAS,20,1,61,1265,179,395,41,138,77,101,37,224,65,62,26,70,127,476,.453,.297,.762,20.7,7.8,3.7,1.1,1.0,0.4,georgpa01
28,Blake Griffin,Oct 27 '10 LAC vs. POR,21,1,82,3112,696,1376,7,24,446,695,270,989,312,63,45,223,252,1845,.506,.292,.642,38.0,22.5,12.1,3.8,0.8,0.5,griffbl01
29,Luke Harangody,Nov 2 '10 BOS @ DET,23,1,49,640,79,206,16,66,19,26,40,143,30,15,17,16,80,193,.383,.242,.731,13.1,3.9,2.9,0.6,0.3,0.3,haranlu01
30,Manny Harris,Oct 29 '10 CLE @ TOR,21,1,54,933,108,289,34,92,71,93,36,140,85,31,7,63,65,321,.374,.370,.763,17.3,5.9,2.6,1.6,0.6,0.1,harrima01
31,Gordon Hayward,Oct 27 '10 UTA @ DEN,20,1,72,1218,142,293,35,74,69,97,41,139,81,30,19,70,106,388,.485,.473,.711,16.9,5.4,1.9,1.1,0.4,0.3,haywago01
32,Lazar Hayward,Oct 29 '10 MIN vs. MIL,24,1,42,419,55,154,17,60,33,42,23,70,28,12,7,19,44,160,.357,.283,.786,10.0,3.8,1.7,0.7,0.3,0.2,haywala01
33,Xavier Henry,Oct 27 '10 MEM vs. ATL,19,1,38,527,65,160,2,17,33,52,9,37,18,11,3,13,48,165,.406,.118,.635,13.9,4.3,1.0,0.5,0.3,0.1,henryxa01
34,Damion James,Oct 27 '10 NJN vs. DET,23,1,25,403,46,103,0,3,18,28,17,85,20,16,12,25,36,110,.447,.000,.643,16.1,4.4,3.4,0.8,0.6,0.5,jamesda01
35,Eugene Jeter,Oct 27 '10 SAC @ MIN,27,1,62,858,106,259,6,30,37,41,9,70,162,29,2,51,54,255,.409,.200,.902,13.8,4.1,1.1,2.6,0.5,0.0,jetereu01
36,Armon Johnson,Oct 26 '10 POR vs. PHO,21,1,38,277,46,101,5,12,13,22,11,36,45,5,1,38,31,110,.455,.417,.591,7.3,2.9,0.9,1.2,0.1,0.0,johnsar02
37,Chris Johnson,Feb 1 '11 POR vs. SAS,25,1,14,138,9,21,0,0,15,20,12,32,3,3,9,10,21,33,.429,,.750,9.9,2.4,2.3,0.2,0.2,0.6,johnsch03
38,Wesley Johnson,Oct 27 '10 MIN vs. SAC,23,1,79,2069,271,682,103,289,64,92,51,240,148,58,54,95,163,709,.397,.356,.696,26.2,9.0,3.0,1.9,0.7,0.7,johnswe01
39,Dominique Jones,Oct 27 '10 DAL vs. CHA,22,1,18,135,14,45,0,4,14,17,6,25,19,5,3,10,7,42,.311,.000,.824,7.5,2.3,1.4,1.1,0.3,0.2,jonesdo02
40,Gani Lawal,Dec 31 '10 PHO vs. DET,22,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,2.0,0.0,0.0,0.0,0.0,0.0,lawalga01
41,Jeremy Lin,Oct 29 '10 GSW vs. LAC,22,1,29,285,28,72,1,5,19,25,12,34,42,33,9,18,31,76,.389,.200,.760,9.8,2.6,1.2,1.4,1.1,0.3,linje01
42,Greg Monroe,Oct 30 '10 DET @ CHI,20,1,80,2222,303,550,0,1,145,233,248,601,105,93,45,81,196,751,.551,.000,.622,27.8,9.4,7.5,1.3,1.2,0.6,monrogr01
43,Timofey Mozgov,Oct 27 '10 NYK @ TOR,24,1,45,524,63,133,0,0,37,52,46,121,15,15,25,35,84,163,.474,,.712,11.6,3.6,2.7,0.3,0.3,0.6,mozgoti01
44,Hamady N'Diaye,Oct 28 '10 WAS @ ORL,24,1,16,80,4,5,0,0,6,12,2,7,0,2,5,3,18,14,.800,,.500,5.0,0.9,0.4,0.0,0.1,0.3,ndiayha01
45,Gary Neal,Oct 27 '10 SAS vs. IND,26,1,80,1685,285,632,129,308,84,104,21,196,96,27,4,78,148,783,.451,.419,.808,21.1,9.8,2.5,1.2,0.3,0.1,nealga01
46,Larry Owens,Jan 16 '11 SAS vs. DEN,28,1,12,143,15,32,6,13,4,9,1,15,8,9,5,5,18,40,.469,.462,.444,11.9,3.3,1.3,0.7,0.8,0.4,owensla01
47,Patrick Patterson,Dec 15 '10 HOU @ OKC,21,1,52,868,149,267,0,2,30,42,86,200,41,17,37,31,77,328,.558,.000,.714,16.7,6.3,3.8,0.8,0.3,0.7,pattepa01
48,Nikola Peković,Oct 27 '10 MIN vs. SAC,25,1,65,887,136,263,0,0,87,114,90,193,27,18,35,91,181,359,.517,,.763,13.6,5.5,3.0,0.4,0.3,0.5,pekovni01
49,Dexter Pittman,Apr 1 '11 MIA @ MIN,22,1,2,11,1,3,0,0,0,0,1,3,0,0,0,2,2,2,.333,,,5.5,1.0,1.5,0.0,0.0,0.0,pittmde01
50,Quincy Pondexter,Nov 6 '10 NOH @ MIL,22,1,66,734,73,180,18,50,24,34,23,88,28,17,10,16,63,188,.406,.360,.706,11.1,2.8,1.3,0.4,0.3,0.2,pondequ01
51,Andy Rautins,Nov 9 '10 NYK @ MIL,24,1,5,24,3,7,1,4,1,2,0,1,3,1,0,7,0,8,.429,.250,.500,4.8,1.6,0.2,0.6,0.2,0.0,rautian01
52,Samardo Samuels,Oct 29 '10 CLE @ TOR,22,1,37,701,110,241,0,3,68,110,75,158,17,15,18,53,88,288,.456,.000,.618,18.9,7.8,4.3,0.5,0.4,0.5,samuesa01
53,Larry Sanders,Oct 27 '10 MIL @ NOH,22,1,60,872,116,268,0,0,28,50,59,178,16,22,72,38,117,260,.433,,.560,14.5,4.3,3.0,0.3,0.4,1.2,sandela01
54,Kevin Séraphin,Nov 16 '10 WAS vs. TOR,21,1,58,635,66,147,0,0,22,31,80,152,10,17,28,42,126,154,.449,,.710,10.9,2.7,2.6,0.2,0.3,0.5,serapke01
55,Mustafa Shakur,Jan 22 '11 WAS vs. BOS,26,1,22,159,21,59,1,10,8,15,7,22,25,5,3,18,15,51,.356,.100,.533,7.2,2.3,1.0,1.1,0.2,0.1,shakumu01
56,Garret Siler,Nov 3 '10 PHO vs. SAS,24,1,21,101,17,31,0,0,11,22,16,28,3,1,4,10,20,45,.548,,.500,4.8,2.1,1.3,0.1,0.0,0.2,silerga01
57,Ish Smith,Oct 26 '10 HOU @ LAL,22,1,43,442,43,115,3,10,12,21,7,47,79,18,2,34,37,101,.374,.300,.571,10.3,2.3,1.1,1.8,0.4,0.0,smithis01
58,Tiago Splitter,Nov 1 '10 SAS @ LAC,26,1,60,738,101,191,0,1,76,140,72,201,26,29,17,32,91,278,.529,.000,.543,12.3,4.6,3.4,0.4,0.5,0.3,splitti01
59,Lance Stephenson,Feb 27 '11 IND vs. PHO,20,1,12,115,13,39,0,5,11,14,1,18,21,4,0,16,14,37,.333,.000,.786,9.6,3.1,1.5,1.8,0.3,0.0,stephla01
60,Pape Sy,Apr 8 '11 ATL @ IND,22,1,3,21,2,6,0,1,3,3,2,3,2,1,0,3,1,7,.333,.000,1.000,7.0,2.3,1.0,0.7,0.3,0.0,sypa01
61,Evan Turner,Oct 27 '10 PHI vs. MIA,22,1,78,1797,225,529,14,44,101,125,42,306,159,49,14,80,138,565,.425,.318,.808,23.0,7.2,3.9,2.0,0.6,0.2,turneev01
62,Ekpe Udoh,Dec 10 '10 GSW vs. MIA,23,1,58,1030,97,222,0,0,42,64,80,181,40,22,86,48,144,236,.437,,.656,17.8,4.1,3.1,0.7,0.4,1.5,udohek01
63,Ben Uzoh,Nov 15 '10 NJN @ LAC,22,1,42,438,61,144,3,8,33,56,30,61,69,13,8,25,29,158,.424,.375,.589,10.4,3.8,1.5,1.6,0.3,0.2,uzohbe01
64,Greivis Vásquez,Oct 30 '10 MEM vs. MIN,24,1,70,860,95,233,25,86,34,44,12,73,151,22,4,70,83,249,.408,.291,.773,12.3,3.6,1.0,2.2,0.3,0.1,vasqugr01
65,John Wall,Oct 28 '10 WAS @ ORL,20,1,69,2606,398,972,34,115,301,393,35,317,574,121,35,261,175,1131,.409,.296,.766,37.8,16.4,4.6,8.3,1.8,0.5,walljo01
66,Willie Warren,Nov 1 '10 LAC vs. SAS,21,1,19,134,13,35,5,15,6,8,1,12,27,6,0,8,16,37,.371,.333,.750,7.1,1.9,0.6,1.4,0.3,0.0,warrewi01
67,Hassan Whiteside,Oct 27 '10 SAC @ MIN,21,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,2.0,0.0,0.0,0.0,0.0,0.0,whiteha01
